Dataora;WDS;WDD;RNF;RHM
2024-01-01 00:00:00;17.2;208.8;0;83.2
2024-01-01 01:00:00;16.5;200.6;0;82.5
2024-01-01 02:00:00;15.2;199;0;82.7
2024-01-01 03:00:00;13.3;202.8;0;83.4
2024-01-01 04:00:00;11.7;198.6;0;84.5
2024-01-01 05:00:00;11.2;198.8;0;85.6
2024-01-01 06:00:00;14.2;209;0;83.2
2024-01-01 07:00:00;15.1;214.5;0;81.9
2024-01-01 08:00:00;16.5;224.6;0;77.8
2024-01-01 09:00:00;20.1;230.8;0;73.1
2024-01-01 10:00:00;24;236.2;0;68.6
2024-01-01 11:00:00;24.5;239.9;0;64.6
2024-01-01 12:00:00;25.3;241.4;0;64.2
2024-01-01 13:00:00;22.8;240.4;0;66.4
2024-01-01 14:00:00;18.7;234.9;0;69.1
2024-01-01 15:00:00;16.8;233.4;0;72.7
2024-01-01 16:00:00;14.6;229.8;0;77
2024-01-01 17:00:00;13.8;229;0;78.8
2024-01-01 18:00:00;12.4;229.7;0;78.8
2024-01-01 19:00:00;11.5;229.6;0;79.7
2024-01-01 20:00:00;10.7;228.7;0;81.4
2024-01-01 21:00:00;10.8;228;0;81.8
2024-01-01 22:00:00;11.1;232.3;0;79.1
2024-01-01 23:00:00;11.1;239.1;0;79
2024-01-02 00:00:00;11.8;250.2;0;78.5
2024-01-02 01:00:00;13.4;256.1;0;77.9
2024-01-02 02:00:00;10.6;265.7;0;80.3
2024-01-02 03:00:00;9.4;263.4;0;83.4
2024-01-02 04:00:00;9.1;262.2;0;85.4
2024-01-02 05:00:00;8.5;251.7;0;86.5
2024-01-02 06:00:00;8.5;243.2;0;87.1
2024-01-02 07:00:00;8.7;241.3;0;87.2
2024-01-02 08:00:00;8.4;235;0;80.8
2024-01-02 09:00:00;8.9;237.2;0;72.2
2024-01-02 10:00:00;12.2;236.2;0;64.7
2024-01-02 11:00:00;15.2;235;0;59.7
2024-01-02 12:00:00;19.2;237.4;0;56.2
2024-01-02 13:00:00;21.3;237.3;0;53.7
2024-01-02 14:00:00;22.4;237.7;0;55
2024-01-02 15:00:00;22.1;236.8;0;58.7
2024-01-02 16:00:00;21.4;233.4;0;64.7
2024-01-02 17:00:00;21.3;231;0;70
2024-01-02 18:00:00;22.4;231.9;0;74.1
2024-01-02 19:00:00;24.1;231.9;0;75.1
2024-01-02 20:00:00;26.5;230.9;0;74.5
2024-01-02 21:00:00;29.2;231;0;75.6
2024-01-02 22:00:00;32.2;229.7;0;75.7
2024-01-02 23:00:00;35.1;233;0;74.6
2024-01-03 00:00:00;37.2;236.7;0;74.2
2024-01-03 01:00:00;38.7;240.8;0;72.6
2024-01-03 02:00:00;38.4;237.9;0;72.4
2024-01-03 03:00:00;40.2;237.3;0;71
2024-01-03 04:00:00;40.9;235.7;0;71.3
2024-01-03 05:00:00;37.8;231.7;0;72.5
2024-01-03 06:00:00;40;229.4;0;73.1
2024-01-03 07:00:00;41.8;231.3;0;72
2024-01-03 08:00:00;41.2;232.4;0;68.6
