Dataora;WDS;WDD;RNF;RHM
2024-01-01 00:00:00;21.3;226.6;0;89.7
2024-01-01 01:00:00;22.5;226.4;0;88
2024-01-01 02:00:00;24.1;226.1;0;87.2
2024-01-01 03:00:00;23.3;226.8;0;88.3
2024-01-01 04:00:00;22.7;227.5;0;89
2024-01-01 05:00:00;21.6;227.1;0;90.2
2024-01-01 06:00:00;24.4;226.7;0;89.3
2024-01-01 07:00:00;25.6;230.9;0;88.3
2024-01-01 08:00:00;26;235.6;0;86
2024-01-01 09:00:00;26.6;238.5;0;82.7
2024-01-01 10:00:00;28.8;240.2;0;78.7
2024-01-01 11:00:00;29.6;241.6;0;74.6
2024-01-01 12:00:00;27.8;243.3;0;74.7
2024-01-01 13:00:00;24.4;243.6;0;76.6
2024-01-01 14:00:00;19.3;240.4;0;79.5
2024-01-01 15:00:00;16;237;0.1;82.9
2024-01-01 16:00:00;14;235.2;0;86
2024-01-01 17:00:00;13.4;234.8;0.1;87.3
2024-01-01 18:00:00;12.7;236.5;0;87.4
2024-01-01 19:00:00;12.2;236.8;0;87.7
2024-01-01 20:00:00;12.4;238.6;0;88.3
2024-01-01 21:00:00;12.8;239.2;0;87.1
2024-01-01 22:00:00;14.3;238.8;0;84.9
2024-01-01 23:00:00;16;242.9;0;86.2
2024-01-02 00:00:00;18;246.2;0;86
2024-01-02 01:00:00;18.4;249.1;0;84.8
2024-01-02 02:00:00;15.7;253.1;0;85.3
2024-01-02 03:00:00;13.6;256.3;0;87.8
2024-01-02 04:00:00;12.7;255.7;0;89
2024-01-02 05:00:00;11.7;251.9;0;89.9
2024-01-02 06:00:00;10.5;244.7;0;89.9
2024-01-02 07:00:00;10.9;243.7;0;89.9
2024-01-02 08:00:00;11.1;240;0;85.1
2024-01-02 09:00:00;12.7;239.1;0;78.9
2024-01-02 10:00:00;18;239.9;0;72.2
2024-01-02 11:00:00;21;237.6;0;68.7
2024-01-02 12:00:00;23.8;239.8;0;64.1
2024-01-02 13:00:00;25.7;240.9;0;61.2
2024-01-02 14:00:00;26.2;240.2;0;61.9
2024-01-02 15:00:00;25.9;238.8;0;66.1
2024-01-02 16:00:00;25.3;235.9;0;72.5
2024-01-02 17:00:00;24.3;233.7;0;78.7
2024-01-02 18:00:00;24.9;235.1;0;83.6
2024-01-02 19:00:00;26.1;235;0;85.9
2024-01-02 20:00:00;29.4;235;0;86.1
2024-01-02 21:00:00;32;234.2;0;86.2
2024-01-02 22:00:00;35.4;232.7;0;86
2024-01-02 23:00:00;38.4;234.4;0;84.4
2024-01-03 00:00:00;40;237.1;0;84.1
2024-01-03 01:00:00;40.7;240.9;0;82.9
2024-01-03 02:00:00;40.2;237.4;0;82.2
2024-01-03 03:00:00;40.3;237.3;0;80.5
2024-01-03 04:00:00;38.7;235.4;0;81.4
2024-01-03 05:00:00;36;232.7;0;82.1
2024-01-03 06:00:00;38.2;231.9;0;83.4
2024-01-03 07:00:00;38.5;234.1;0;83.1
2024-01-03 08:00:00;38.6;235.2;0;80.2
2024-01-03 09:00:00;39.8;237.1;0;78.3
2024-01-03 10:00:00;40.9;237.1;0;74.9
2024-01-03 11:00:00;41.2;238.5;0;71
2024-01-03 12:00:00;41.2;238.9;0;68
2024-01-03 13:00:00;41;237.8;0;69.5
2024-01-03 14:00:00;39.1;236.3;0;72
2024-01-03 15:00:00;37.4;236.6;0;76.4
2024-01-03 16:00:00;35.6;236.6;0;80.4
2024-01-03 17:00:00;34;235.2;0;83.8
2024-01-03 18:00:00;30.6;234.9;0;84.6
2024-01-03 19:00:00;27.5;233.8;0;84.5
2024-01-03 20:00:00;26.6;234.9;0;84.4
2024-01-03 21:00:00;28.8;234.9;0;85.1
2024-01-03 22:00:00;33.6;236.1;0;84.3
2024-01-03 23:00:00;35.8;236.2;0;85.2
2024-01-04 00:00:00;34.1;238.9;0;86.2
2024-01-04 01:00:00;35.9;237.7;0;85
2024-01-04 02:00:00;34.1;237.1;0;84.8
2024-01-04 03:00:00;36.4;235.9;0;83.9
2024-01-04 04:00:00;34.9;232.4;0;83
2024-01-04 05:00:00;34.7;234.3;0;86.4
2024-01-04 06:00:00;34.2;239.9;0;88
2024-01-04 07:00:00;32.8;241.6;0;87.6
2024-01-04 08:00:00;32.6;242.9;0;83.9
2024-01-04 09:00:00;31.8;244.1;0;81.1
2024-01-04 10:00:00;32.2;244.5;0;76.1
2024-01-04 11:00:00;32.1;245.6;0;70.4
2024-01-04 12:00:00;31.2;247.4;0;66.9
2024-01-04 13:00:00;29.5;246.9;0;65.5
2024-01-04 14:00:00;26.8;245.1;0;66.9
2024-01-04 15:00:00;24.1;243.2;0;71.7
2024-01-04 16:00:00;20.5;239.9;0;79
2024-01-04 17:00:00;18.4;238.4;0;83.4
2024-01-04 18:00:00;17.6;236.9;0;85.9
2024-01-04 19:00:00;16.7;236.6;0;86.5
2024-01-04 20:00:00;16.4;236.8;0;86.9
2024-01-04 21:00:00;16.6;237.4;0;87.8
2024-01-04 22:00:00;16.3;236.9;0;88.5
2024-01-04 23:00:00;16.1;235.7;0;88.8
2024-01-05 00:00:00;16.2;233.9;0;89.1
2024-01-05 01:00:00;16.4;231.5;0;88.1
2024-01-05 02:00:00;16.4;230.9;0;87.6
2024-01-05 03:00:00;15.5;230.6;0;87
2024-01-05 04:00:00;15.1;231;0;86.9
2024-01-05 05:00:00;15.8;230.3;0;87.6
2024-01-05 06:00:00;17.3;230.9;0;88.7
2024-01-05 07:00:00;17.9;229.9;0;87.5
2024-01-05 08:00:00;16.8;226.7;0;84.7
2024-01-05 09:00:00;18.6;226.9;0;80.2
2024-01-05 10:00:00;19;224.9;0;77.7
2024-01-05 11:00:00;19.5;223.6;0;77.1
2024-01-05 12:00:00;20.2;222.9;0;73.9
2024-01-05 13:00:00;16.3;218;0.3;72.9
2024-01-05 14:00:00;12.6;211.2;0;72.8
2024-01-05 15:00:00;9.5;206.8;0;74.7
2024-01-05 16:00:00;7.8;207.9;0;78.6
2024-01-05 17:00:00;7.6;211.5;0;79.4
2024-01-05 18:00:00;8;213.2;0;77.1
2024-01-05 19:00:00;8.2;216.7;0;74
2024-01-05 20:00:00;8.4;216.2;0;72
2024-01-05 21:00:00;9.4;215.1;0;70.3
2024-01-05 22:00:00;10;216.2;0;70
2024-01-05 23:00:00;10.8;215.7;0;71.5
2024-01-06 00:00:00;10.9;212.9;0;74.6
2024-01-06 01:00:00;12.3;215.5;0;74.7
2024-01-06 02:00:00;11.2;212.9;0;76.2
2024-01-06 03:00:00;11;208.9;0;75.1
2024-01-06 04:00:00;9.8;200.9;0;72.9
2024-01-06 05:00:00;8.6;193.7;0;71.2
2024-01-06 06:00:00;9.4;192.5;0;71.3
2024-01-06 07:00:00;8.8;179;0;71.6
2024-01-06 08:00:00;8;159.7;0.1;73
2024-01-06 09:00:00;7.4;146.5;0;70.9
2024-01-06 10:00:00;8.2;145.6;0;66.9
2024-01-06 11:00:00;7;141;0.1;67.1
2024-01-06 12:00:00;8;101.5;0.1;73.2
2024-01-06 13:00:00;5.6;112.1;0.3;77.3
2024-01-06 14:00:00;5.7;59.1;0.2;80.6
2024-01-06 15:00:00;4.8;122.4;0.3;87.6
2024-01-06 16:00:00;5;266.9;0.2;91.8
2024-01-06 17:00:00;5.9;261.1;0.3;92.2
2024-01-06 18:00:00;4.2;225.9;0.3;93.3
2024-01-06 19:00:00;5.5;254.8;0.1;93.5
2024-01-06 20:00:00;6;261.8;0;92.2
2024-01-06 21:00:00;5.8;268.3;0.1;93
2024-01-06 22:00:00;6.1;252.9;0.1;93.6
2024-01-06 23:00:00;5.2;264.2;0.3;94.3
2024-01-07 00:00:00;4.1;251.6;0.5;94.5
2024-01-07 01:00:00;2.8;236.9;0.4;95.3
2024-01-07 02:00:00;3.4;238;0.4;94.8
2024-01-07 03:00:00;4.6;249.8;0.2;94
2024-01-07 04:00:00;4.9;244.7;0.1;93.6
2024-01-07 05:00:00;5;232;0;93.2
2024-01-07 06:00:00;3.7;196.4;0;92.7
2024-01-07 07:00:00;4.3;201.3;0;93.1
2024-01-07 08:00:00;4.4;192.5;0.1;91.5
2024-01-07 09:00:00;5.5;184.4;0.1;88.1
2024-01-07 10:00:00;6;177.5;0.3;86.9
2024-01-07 11:00:00;7.5;192.1;0.5;88.1
2024-01-07 12:00:00;13.3;224.7;0.9;87.1
2024-01-07 13:00:00;21.2;228.4;0.9;87.4
2024-01-07 14:00:00;29.6;232.2;0.9;86.1
2024-01-07 15:00:00;30.4;238.7;0.8;84.4
2024-01-07 16:00:00;29;243.6;0.6;84.8
2024-01-07 17:00:00;24.9;246;0.7;86.2
2024-01-07 18:00:00;21.9;243.8;0.5;86.5
2024-01-07 19:00:00;17.6;241.9;0.9;86.9
2024-01-07 20:00:00;14.2;241.5;1;87.9
2024-01-07 21:00:00;11.8;239;0.8;88.5
2024-01-07 22:00:00;11.2;238.8;0.7;88.7
2024-01-07 23:00:00;10.7;240.2;0.7;89.1
2024-01-08 00:00:00;9.9;239.2;0.6;89.6
2024-01-08 01:00:00;11.3;242.8;0.3;88.9
2024-01-08 02:00:00;10.8;241.5;0.3;89.7
2024-01-08 03:00:00;9.9;241.5;0.3;90.4
2024-01-08 04:00:00;8.7;241;0.6;89.9
2024-01-08 05:00:00;8;233.8;0.5;89.9
2024-01-08 06:00:00;7.3;233.4;0.4;91
2024-01-08 07:00:00;6.8;237.3;0.5;90.8
2024-01-08 08:00:00;6.9;251.5;0.8;90.1
2024-01-08 09:00:00;7.9;255;1;89.5
2024-01-08 10:00:00;9.8;260.7;1.1;88.6
2024-01-08 11:00:00;11;261.5;1;87.4
2024-01-08 12:00:00;9.6;263;1;84.4
2024-01-08 13:00:00;9.3;237.8;0.7;87.7
2024-01-08 14:00:00;9.8;236.9;0.6;88.3
2024-01-08 15:00:00;9.3;185.7;0.8;90.8
2024-01-08 16:00:00;11.3;162.3;0.6;93.8
2024-01-08 17:00:00;14.1;151.2;0.7;96.9
2024-01-08 18:00:00;11.6;184;0.7;96.1
2024-01-08 19:00:00;10.9;115;0.3;95.3
2024-01-08 20:00:00;14.3;215.5;0.9;95.2
2024-01-08 21:00:00;17.7;263.9;0.7;94.2
2024-01-08 22:00:00;20.1;267.3;0.6;94.1
2024-01-08 23:00:00;23.1;296.6;0.7;93.6
2024-01-09 00:00:00;24;286.8;1.1;93.6
2024-01-09 01:00:00;23.8;331.3;1;92.2
2024-01-09 02:00:00;21.9;330.5;0.6;90.9
2024-01-09 03:00:00;20.7;330.1;0.5;89.9
2024-01-09 04:00:00;20.5;328.7;0.3;89.2
2024-01-09 05:00:00;19.3;280.7;0.2;88.5
2024-01-09 06:00:00;18.4;280.9;0.1;88.1
2024-01-09 07:00:00;16.8;250.4;0;87.3
2024-01-09 08:00:00;17.5;251.3;0;84
2024-01-09 09:00:00;18.2;283.6;0;82.4
2024-01-09 10:00:00;18.7;270.3;0;81
2024-01-09 11:00:00;18.8;192.5;0;80.1
2024-01-09 12:00:00;18.1;234.9;0;81.5
2024-01-09 13:00:00;17.6;176.5;0;81.1
2024-01-09 14:00:00;17.2;149.9;0;82.1
2024-01-09 15:00:00;15.3;184.7;0;84.2
2024-01-09 16:00:00;12.9;187.1;0;87.6
2024-01-09 17:00:00;11.5;227.5;0;87.3
2024-01-09 18:00:00;10.3;228.6;0;87.2
2024-01-09 19:00:00;9.1;237.4;0;87.4
2024-01-09 20:00:00;8.2;209.3;0;88.2
2024-01-09 21:00:00;8.1;207.9;0;88.5
2024-01-09 22:00:00;7.9;239.2;0;89.1
2024-01-09 23:00:00;7.3;206.8;0;89.6
2024-01-10 00:00:00;6.5;227.1;0;90.5
2024-01-10 01:00:00;5.9;198;0;91.4
2024-01-10 02:00:00;5.7;199.7;0;92.4
2024-01-10 03:00:00;5.5;199.4;0;93
2024-01-10 04:00:00;5.9;181.9;0;93.4
2024-01-10 05:00:00;6;129.3;0;94
2024-01-10 06:00:00;5.8;141.5;0;93.2
2024-01-10 07:00:00;6;132;0;94.1
2024-01-10 08:00:00;7;92.4;0;91.1
2024-01-10 09:00:00;7.6;92.9;0;87.3
2024-01-10 10:00:00;8.5;60.2;0;83.8
2024-01-10 11:00:00;9.2;57.7;0;81.3
2024-01-10 12:00:00;9.4;53.2;0;82.9
2024-01-10 13:00:00;9.7;40.3;0;83.3
2024-01-10 14:00:00;8.8;43.2;0;85.6
2024-01-10 15:00:00;8.8;44.6;0;88.1
2024-01-10 16:00:00;7.5;58.4;0;91.7
2024-01-10 17:00:00;5.9;78.7;0;93.6
2024-01-10 18:00:00;6.3;79.5;0;94.2
2024-01-10 19:00:00;5.7;95.9;0;94.5
2024-01-10 20:00:00;5.8;82.7;0;95
2024-01-10 21:00:00;5.4;81;0;95.2
