Dataora;WDS;WDD;RNF;RHM
2024-01-01 00:00:00;16.8;204.3;0;82.6
2024-01-01 01:00:00;16.5;200.6;0;82.5
2024-01-01 02:00:00;15.2;199;0;82.7
2024-01-01 03:00:00;13.3;202.8;0;83.4
2024-01-01 04:00:00;11.7;198.6;0;84.5
2024-01-01 05:00:00;11.2;198.9;0;85.7
2024-01-01 06:00:00;14.2;209.2;0;83.3
2024-01-01 07:00:00;15.2;214.9;0;81.9
2024-01-01 08:00:00;16.5;224.9;0;77.8
2024-01-01 09:00:00;20.1;231;0;73.1
2024-01-01 10:00:00;24;236.3;0;68.7
2024-01-01 11:00:00;24.5;239.9;0;64.6
2024-01-01 12:00:00;24.3;242.6;0;62.5
2024-01-01 13:00:00;22.9;242.8;0;64.3
2024-01-01 14:00:00;20;237.9;0;67.7
2024-01-01 15:00:00;18;235.1;0;71.2
2024-01-01 16:00:00;16.3;232.7;0;74.5
2024-01-01 17:00:00;15.2;230.3;0;74.8
2024-01-01 18:00:00;13;228.3;0;77.5
2024-01-01 19:00:00;13;224.8;0;77.6
2024-01-01 20:00:00;13.6;227.5;0;74.9
2024-01-01 21:00:00;13.5;233.7;0;73.5
2024-01-01 22:00:00;14.1;239;0;73.7
2024-01-01 23:00:00;13.9;244.3;0;74.2
2024-01-02 00:00:00;13.7;253.7;0;77.8
2024-01-02 01:00:00;13.4;256.2;0;77.9
2024-01-02 02:00:00;10.6;265.8;0;80.3
2024-01-02 03:00:00;9.4;263.4;0;83.4
2024-01-02 04:00:00;9.1;262;0;85.4
2024-01-02 05:00:00;8.5;251.3;0;86.6
2024-01-02 06:00:00;8.5;242.5;0;87.1
2024-01-02 07:00:00;8.8;240.7;0;87.2
2024-01-02 08:00:00;8.5;234.5;0;80.7
2024-01-02 09:00:00;8.9;237;0;72.2
2024-01-02 10:00:00;12.1;236.3;0;64.7
2024-01-02 11:00:00;15.1;235.3;0;59.8
2024-01-02 12:00:00;18.3;237.5;0;57.2
2024-01-02 13:00:00;20;237.9;0;54.8
2024-01-02 14:00:00;21.7;238.3;0;55.5
2024-01-02 15:00:00;21.5;236.1;0;59.1
2024-01-02 16:00:00;20.8;232.8;0;65.7
2024-01-02 17:00:00;21.1;231.6;0;70.6
2024-01-02 18:00:00;22.5;232.1;0;73.6
2024-01-02 19:00:00;24.3;230.8;0;74.9
2024-01-02 20:00:00;25.8;231.6;0;74.3
2024-01-02 21:00:00;28;231.2;0;74.2
2024-01-02 22:00:00;31.2;228.8;0;76.3
2024-01-02 23:00:00;34;231;0;75.3
2024-01-03 00:00:00;36.5;237;0;73.7
2024-01-03 01:00:00;38.7;240.8;0;72.6
2024-01-03 02:00:00;38.4;238;0;72.4
2024-01-03 03:00:00;40.2;237.3;0;71
2024-01-03 04:00:00;40.9;235.6;0;71.2
2024-01-03 05:00:00;37.9;231.5;0;72.4
2024-01-03 06:00:00;39.9;229.3;0;73
2024-01-03 07:00:00;41.5;231.3;0;72.1
2024-01-03 08:00:00;40.8;232.3;0;68.8
2024-01-03 09:00:00;40.2;236;0;67
2024-01-03 10:00:00;41.3;236;0;63.7
2024-01-03 11:00:00;43.3;237.5;0;60.9
2024-01-03 12:00:00;43.6;238.9;0;58.5
2024-01-03 13:00:00;42.9;238.4;0;60.2
2024-01-03 14:00:00;41.7;237.8;0;62
2024-01-03 15:00:00;40.6;237.2;0;65.4
2024-01-03 16:00:00;37.3;236.1;0;69
2024-01-03 17:00:00;34.4;235.2;0;71
2024-01-03 18:00:00;32;234.5;0;72.3
2024-01-03 19:00:00;31.1;232.5;0;72.2
2024-01-03 20:00:00;29.8;230.7;0;72.2
2024-01-03 21:00:00;29.7;231.6;0;73.6
2024-01-03 22:00:00;31.8;231.2;0;73.1
2024-01-03 23:00:00;35.1;233.9;0;73.3
2024-01-04 00:00:00;39.5;237.2;0;75.1
2024-01-04 01:00:00;37.6;238.6;0;75.4
2024-01-04 02:00:00;34.4;238.3;0;75.8
2024-01-04 03:00:00;34.1;235.8;0;75.4
2024-01-04 04:00:00;35.4;233.5;0;74.9
2024-01-04 05:00:00;33.5;233.8;0;77.2
