Dataora;WDS;WDD;RNF;RHM
2024-01-01 00:00:00;22.1;224.4;0;91.5
2024-01-01 01:00:00;24.4;224.3;0;91.3
2024-01-01 02:00:00;25.9;224.2;0;91
2024-01-01 03:00:00;25.4;225.4;0;92.1
2024-01-01 04:00:00;25.4;226.9;0;92.1
2024-01-01 05:00:00;24.7;227.2;0;92.9
2024-01-01 06:00:00;27.2;227.4;0;91.9
2024-01-01 07:00:00;27.8;231;0;91.1
2024-01-01 08:00:00;27;234.6;0;89.7
2024-01-01 09:00:00;27;238.1;0;87.1
2024-01-01 10:00:00;28;239.7;0;83.1
2024-01-01 11:00:00;28;241.3;0;78.6
2024-01-01 12:00:00;27;242.3;0;77.2
2024-01-01 13:00:00;24.6;242.3;0;79.2
2024-01-01 14:00:00;21;239.6;0;82.3
2024-01-01 15:00:00;17.8;240.2;0;85.6
2024-01-01 16:00:00;15.1;235.6;0;88
2024-01-01 17:00:00;14.5;234.4;0;88.6
2024-01-01 18:00:00;14;236.6;0;89.2
2024-01-01 19:00:00;14.2;237.6;0;86.5
2024-01-01 20:00:00;14.8;237.5;0;84.9
2024-01-01 21:00:00;15.4;240.9;0;85.8
2024-01-01 22:00:00;17.1;241.2;0;86.9
2024-01-01 23:00:00;18.6;241.7;0;87.2
2024-01-02 00:00:00;17.1;244.5;0;88.6
2024-01-02 01:00:00;16.5;246.5;0;88.8
2024-01-02 02:00:00;14.2;249.2;0;89.7
2024-01-02 03:00:00;12.3;252;0;91.2
2024-01-02 04:00:00;11.1;251.9;0;91.9
2024-01-02 05:00:00;10.1;248.1;0;92.5
2024-01-02 06:00:00;9.5;239.3;0;93
2024-01-02 07:00:00;10.1;238.9;0;93.3
2024-01-02 08:00:00;9.8;234.9;0;89.9
2024-01-02 09:00:00;11.1;234;0;84.5
2024-01-02 10:00:00;16.1;236.1;0;77.3
2024-01-02 11:00:00;19.4;234.6;0;73.6
2024-01-02 12:00:00;22.4;236.1;0;69.5
2024-01-02 13:00:00;24.3;237.6;0;67.1
2024-01-02 14:00:00;25.4;238.6;0;67.3
2024-01-02 15:00:00;24.6;236.8;0;71.5
2024-01-02 16:00:00;23.5;234.7;0;77.6
2024-01-02 17:00:00;22.9;233.5;0;82.5
2024-01-02 18:00:00;22.9;233.5;0;85.7
2024-01-02 19:00:00;23.8;231.9;0;88
