Dataora;WDS;WDD;RNF;RHM
2025-01-01 00:00:00;7;237.2;0;80.4
2025-01-01 01:00:00;7;235.8;0;80
2025-01-01 02:00:00;6.8;235.8;0;79.5
2025-01-01 03:00:00;6.9;236.7;0;78.8
2025-01-01 04:00:00;6.5;237.9;0;78.6
2025-01-01 05:00:00;6.6;235.3;0;78.9
2025-01-01 06:00:00;6.4;236.1;0;78.8
2025-01-01 07:00:00;6.2;239.3;0;78.2
2025-01-01 08:00:00;5.4;240.7;0;72.1
2025-01-01 09:00:00;3;150.9;0;67
2025-01-01 10:00:00;3.2;154.7;0;58.1
2025-01-01 11:00:00;3.8;122.6;0;57.2
2025-01-01 12:00:00;4.2;105;0;56.3
2025-01-01 13:00:00;4.5;110.4;0;56.2
2025-01-01 14:00:00;4.7;114.1;0;57.9
2025-01-01 15:00:00;4.4;106.2;0;67.1
2025-01-01 16:00:00;3.5;134.6;0;74.4
2025-01-01 17:00:00;3.8;180.9;0;77
2025-01-01 18:00:00;4.6;210.7;0;79.8
2025-01-01 19:00:00;5.5;226.8;0;81.2
2025-01-01 20:00:00;6.2;231.9;0;80.8
2025-01-01 21:00:00;6.5;233.1;0;80.1
2025-01-01 22:00:00;6.8;231.5;0;79.5
2025-01-01 23:00:00;6.9;229.9;0;78.9
2025-01-02 00:00:00;6.4;218;0;81.3
2025-01-02 01:00:00;6.8;211.2;0;79.5
2025-01-02 02:00:00;7;212.3;0;78.3
2025-01-02 03:00:00;7.5;212.4;0;77.8
2025-01-02 04:00:00;8;211.6;0;77.2
2025-01-02 05:00:00;8.2;207.8;0;76.6
2025-01-02 06:00:00;8;231.8;0;75.6
2025-01-02 07:00:00;8.5;229.5;0;75
2025-01-02 08:00:00;8.9;227.1;0;69
2025-01-02 09:00:00;9.2;222.2;0;62.7
2025-01-02 10:00:00;12.1;229.8;0;56.1
2025-01-02 11:00:00;16.9;234;0;52.9
2025-01-02 12:00:00;21.3;236.7;0;52.5
2025-01-02 13:00:00;24.3;236.3;0;53.2
2025-01-02 14:00:00;25.6;233.3;0;56
2025-01-02 15:00:00;25.2;234.3;0;61.1
2025-01-02 16:00:00;23.6;237.6;0;67.2
2025-01-02 17:00:00;22.7;236.2;0;71.1
2025-01-02 18:00:00;22.2;233.7;0;74.1
2025-01-02 19:00:00;22.5;232.4;0;76
2025-01-02 20:00:00;22.9;232;0;77.4
2025-01-02 21:00:00;24.4;232.6;0;78.1
2025-01-02 22:00:00;26.6;232.4;0;78.1
2025-01-02 23:00:00;29.1;232.7;0;77.1
2025-01-03 00:00:00;32.1;231.3;0;75.5
2025-01-03 01:00:00;34.3;231.6;0;75.5
2025-01-03 02:00:00;35.7;231;0;75.4
2025-01-03 03:00:00;37;230.8;0;75.5
2025-01-03 04:00:00;37.9;231.2;0;75.2
2025-01-03 05:00:00;38.1;229.2;0;75.1
2025-01-03 06:00:00;39;229;0;75.4
2025-01-03 07:00:00;39.2;229;0;75.1
2025-01-03 08:00:00;40.8;232.7;0;73.3
2025-01-03 09:00:00;37.9;232.5;0;72.4
2025-01-03 10:00:00;40.8;230.9;0;71.7
2025-01-03 11:00:00;44.1;232.7;0;71.4
2025-01-03 12:00:00;43.5;232.5;0;71.5
2025-01-03 13:00:00;44.5;234.2;0;70.6
