Dataora;WDS;WDD;RNF;RHM
2025-01-01 00:00:00;8.2;232.5;0;83.6
2025-01-01 01:00:00;8.5;232.2;0;83.1
2025-01-01 02:00:00;8.1;230.9;0;81.8
2025-01-01 03:00:00;7.8;228.5;0;81.5
2025-01-01 04:00:00;7.7;227;0;81.2
2025-01-01 05:00:00;7.7;227.1;0;81.2
2025-01-01 06:00:00;7.6;226.7;0;80.9
2025-01-01 07:00:00;7.5;227.7;0;80.2
2025-01-01 08:00:00;7.6;226.7;0;74.4
2025-01-01 09:00:00;6.5;224.8;0;66
2025-01-01 10:00:00;5.9;219.9;0;60
2025-01-01 11:00:00;5.8;208.7;0;55.8
2025-01-01 12:00:00;6;203.7;0;53.2
2025-01-01 13:00:00;6.4;200.8;0;52.7
2025-01-01 14:00:00;6.5;200.7;0;53.5
2025-01-01 15:00:00;5.6;202.9;0;61.8
2025-01-01 16:00:00;5.8;213.7;0;68.1
2025-01-01 17:00:00;6.3;221.8;0;72.8
2025-01-01 18:00:00;7;226.5;0;76.5
2025-01-01 19:00:00;7.7;227.7;0;79.2
2025-01-01 20:00:00;8.2;228.5;0;80
2025-01-01 21:00:00;8.7;228.9;0;79.1
2025-01-01 22:00:00;9.3;229.3;0;78.2
2025-01-01 23:00:00;9.6;230.2;0;77.1
2025-01-02 00:00:00;9.4;228.9;0;77.9
2025-01-02 01:00:00;10;228.1;0;75.6
2025-01-02 02:00:00;10.5;228.6;0;75.1
2025-01-02 03:00:00;11;229.3;0;75.6
2025-01-02 04:00:00;11.5;229.6;0;76.5
2025-01-02 05:00:00;11.8;229;0;78
2025-01-02 06:00:00;12.1;230.4;0;77.1
2025-01-02 07:00:00;12.7;229.9;0;77.5
2025-01-02 08:00:00;13.4;228.9;0;74.1
2025-01-02 09:00:00;14.6;229.9;0;70.6
2025-01-02 10:00:00;16.7;232.2;0;68.3
2025-01-02 11:00:00;20.2;235;0;67.5
2025-01-02 12:00:00;24;236.9;0;66.5
2025-01-02 13:00:00;25.7;237.3;0;66.4
2025-01-02 14:00:00;25.8;235.5;0;68.5
2025-01-02 15:00:00;25.1;236.9;0;72.9
2025-01-02 16:00:00;24.2;239.9;0;78.7
2025-01-02 17:00:00;23.4;238;0;82.7
2025-01-02 18:00:00;22.5;234.5;0;85.9
2025-01-02 19:00:00;22.1;232.1;0;88.1
2025-01-02 20:00:00;22.5;232.1;0;89.6
2025-01-02 21:00:00;24;232.4;0;90.9
2025-01-02 22:00:00;25.8;232.4;0;91.2
2025-01-02 23:00:00;27.8;233.8;0;89.7
2025-01-03 00:00:00;29.9;231.5;0;88.5
2025-01-03 01:00:00;31;231;0;89
2025-01-03 02:00:00;31.5;231.5;0;89.2
2025-01-03 03:00:00;32.5;229.8;0;89.3
2025-01-03 04:00:00;32.1;229.2;0;88.9
2025-01-03 05:00:00;32.2;227.6;0;88.9
2025-01-03 06:00:00;34.2;227.4;0;89.1
2025-01-03 07:00:00;36.9;227.5;0.1;89
2025-01-03 08:00:00;38.4;230.3;0.1;87.5
2025-01-03 09:00:00;38.5;228.7;0.1;87.3
2025-01-03 10:00:00;40.8;228.8;0.1;86.7
2025-01-03 11:00:00;40.8;229.2;0;86.2
2025-01-03 12:00:00;40.8;229.9;0.1;85.8
